category,cnt
욕실용품,2
음향기기,2
황사 방역 마스크 KF94,2
화장품>헤어케어,2
아이돌굿즈,2
가구/인테리어>수예,2
일회용품,2
한약,2
생활/가전,2
생활/건강>주방용품>잔/컵>머그,2
차키,2
건강식품>영양제>기타건강보조식품,2
가구/인테리어>인테리어소품>아로마/캔들용품>아로마방향제/디퓨저,2
건강기능식품>홍삼,2
운동기구,2
카메라용품>삼각대,2
잡화>가방,2
화물,2
생활/건강>반려동물>기타반려동물용품,2
베이커리,2
잡화>신발,2
웨이트기구,2
무드등,2
디지털/가전>휴대폰액세서리>휴대폰케이블,2
화장품/미용>세정제,2
"의류, 잡화",2
휴대폰케이스,2
크림,2
디지털/가전>휴대폰액세서리,2
식품>건강식품>홍삼,2
생활/건강>주방용품>주방잡화>일회용식기,2
LP,2
케이스,2
케이블,2
의류> 여성의류,2
의루,2
가방악세사리,2
헬스용품,2
식품>초콜릿,2
"화장품>스킨케어>앰플,크림",2
생활/건강>공구,2
손목시계,2
생활/건강>욕실용품>욕실용기/홀더>디스펜서,2
없음,2
문서,2
완구류,2
서적/필기도구,2
주방용품>커피용품,2
패션의류>남성의류,2
의류-여성의류,2
디지털/가전>휴대폰액세서리>휴대폰충전기>충전기,2
잡화>인형,2
생활>반려동물,2
건과일,2
소형가전,2
식품>가공식품>냉동식품,2
디저트/케익,2
건강음료,2
마카롱,2
물,2
휴대폰악세사리,2
골프장갑,2
세정제,2
"건강기능식품, 의료기기",2
식품건강식품건강분말,2
가방 잡화,2
블루투스이어폰,2
비타민,2
화장품/미용>스킨케어>크림.로션,2
성인용품,2
소스,2
아동잡화 > 양말,2
패션잡화>가방>크로스백,2
미술용품,2
반려동물의류,2
스포츠/레저->낚시,2
식품>영양제,2
음료수,2
QA팀상품,2
스케이트보드,2
잡화서적,2
생활,2
진단키트,2
생활/건강>주방용품>잔/컵>텀블러,2
생활/건강>생활용품>보안용품>CCTV,2
스포츠의류,2
의자,2
유산균,2
"화장품/미용>마스크팩,천연비누",2
일반,2
디저트,2
물병,2
의류>신발,2
소프트웨어>솔루션,2
자동차 용품,2
식품>다이어트식품>단백질보충제>단백질파우더,2
0,2
키링,2
asfd!@#$!@#asfda@%^$(^&)!!!!!!sgsdfgdㅎㄴㅇㄹㅎㅁㄹㅎ죡ㅁㅎ ㅁㄴㄷㄱㅍㅂ45645656뷰45ㄴ6ㅍ ㄴ45ㅠ6ㄴㅈ456ㅠㄴ56ㅁ5ㅍ6ㄴ5ㅠ ㅗ4ㅠ457ㅛ4,2
축산물,2
골동품,2
꿀,2
유아화장품>스킨케어,2
샘플,2
식품음료주스/과즙음료기타과즙음료,2
리빙,2
부품,2
생활건강>수납/정리용품>정리함,2
생활/건강>수집품>게임>보드게임,2
건강기능,2
건강식품>영양제,2
생활/건강>자동차용품>타이어/휠>타이어,2
도마,2
애견용품 > 강아지 기저귀 패드,2
애완동물용품,2
일회용 마스크,2
치즈,2
애견,2
디자인상품,2
마우스,2
건강식품>일반식품,2
식품>건강음료,2
뜨개용품,2
생필품,2
마이크,2
립스틱,2
디지털,2
캡슐커피,2
헬스/건강식품>건강/의료용품>마스크>KF인증 마스크>KF94 마스크,2
주류>와인,2
감자탕,2
여성화,2
디자인,2
스니커즈,2
생활/건강>건강관리용품,2
커피캡슐,2
도매/소매>의류,2
생활잡화>정리함,2
공산품 외 다수,2
패션잡화>신발>안전화/작업화,2
필름,2
반려동물 사료,2
식품>김치,2
식음료,2
패션/잡화,2
차량용품,2
스포츠/레저>골프>골프필드용품>거리측정기,2
식품>수산물>김/해초>김,2
패션의류>남성패션>바지,2
티백,2
생활건강>건강관리용품>마스크,2
식품>냉동과일,2
여성청결제,2
미용기기,2
스포츠/레저>보호용품>손목보호대,2
냉동/간편조리식품,2
골프 용품,2
청소기,2
음료>생수,2
생활건강>마스크,2
화장품/미용>샴푸,2
스포츠>요가/필라테스>필라테스링,2
생활용품>마스크,2
베개,2
식품>커피,2
식품>제과,2
화장품>스킨케어>오일,2
디지털/가전>휴대폰액세서리>휴대폰거치대,2
생활/건강>생활용품>생리대>일반생리대,2
양념장,2
손수건,2
식품/육류>냉동>토마호크,2
와인,2
의류>티셔츠,2
컴퓨터부품,2
약품,2
공산품,2
라면,2
가구/인테리어>수예>뜨개질,2
의약외품>치약,2
가구/인테리어>인테리어소품>조명>인테리어조명,2
건강,2
주얼리,2
휴대폰 케이스,2
유아동의류,2
상패,2
생활/건강>위생용품>생리컵,2
플라스틱,2
"PC, 부품, 주변기기",2
"전자제품>컴퓨터 본체, 모니터",1
"식음료, 반려용품, 생활용품",1
생활/건강>정원/원예용품>원예부자재,1
화장품 전체,1
면생리대,1
식품>요구르트>요거트,1
마우스 및 키보드,1
"뷰티,리빙,스낵,비식품",1
의류패션잡화,1
여성의류>상의,1
의약외품/손소독제,1
일반식품,1
출산/육아>바디케어>워시,1
식품>가공식품>식용유>올리브유,1
화장품 로션,1
"스포츠>골프>의류,잡화",1
리빙>주방>컵/잔,1
디지털/가전>주변기기키보드>무선키보드,1
취미>소책자,1
디퓨져 캔들,1
화장대,1
핸드폰악세서리,1
생필붐,1
전자기기 부품,1
프라모델/완구,1
스테이셔너리 프린팅 제품,1
"화장품/미용>스킨케어>바디크림, 핸드크림",1
출산/육아>완구/매트>기타완구,1
화장품>여성청결제,1
스포츠용품>테니스>테니스공,1
식품>즉석>라면/컵밥,1
강아지 보조사료,1
생활/건강>반려동물>식기/급수기>식기/식탁,1
전자기기/배터리,1
음식:반찬,1
오토바이용품,1
냉동 및 냉장식품,1
디지털/가전>영상가전,1
가방/여행용품,1
식료품 및 공산품,1
"패션,잡화",1
브로치,1
유아동>잡화>안전보호인형,1
생활/건강냉온/찜질용품찜질팩,1
캠핑>폴딩박스,1
포장제,1
식품음료커피커피믹스/인스턴트커피,1
"취미/예술>CD, 굿즈 등",1
의류>자켓>스카쟌,1
가전제품/무선청소기,1
요가복,1
기타가공품>단백질파우더,1
강아지수제간식,1
"화장품/미용>기타소품>면봉, 솜",1
식품>초코바,1
"의류/잠옷, 속옷",1
식품건강식품영양제기타건강보조식품,1
식품 > 기타가공품,1
화장품/미용>기초스킨케어,1
주방저울,1
강아지 사료,1
건강식품/ 영양제,1
잡화>여성가방,1
선물상자,1
인형꽃다발,1
식품/기타가공품,1
건강즙,1
강아지 영양제,1
네일 스티카,1
전자제품>마사지건,1
데스크/문구,1
다지털/가전,1
식품(냉장)>어란,1
생활용품>욕실용품>수건타올,1
여성 남성 의류,1
식품 > 죽,1
출산육아>유아동의류,1
출산/육아>유아가구>기타유아가구,1
"면도기, 쉐이빙폼, 바디워시",1
식품>쌀,1
생활건강>의료용품>구급/응급용품,1
APPAREL,1
화장품/미용>화장도구>퍼프,1
"식자재, 화장품`",1
수조/어항,1
생활건강/마스크,1
자석용품,1
"수도꼭지, 수도꼭지 커플링",1
디지털/가전>PC부품>PC케이블>USB케이블,1
보건용마스크,1
화장품/미용>스킨케어>패치,1
생활/건강>정리함>소품정리함,1
베개커버,1
육가공/식품>냉동/냉장/실온,1
홈데코>가구>인테리어소품,1
아이스크림>젤라또>젤라또캡슐,1
패션의류>여성의류>상의,1
사탕 과자류,1
"유아동,생활용품,전자제품",1
화장품/메이크업,1
식품>음료>차류>기타차,1
"인테리어소품, 인테리어스티커",1
로션스킨,1
의류>바지,1
비즈악세사리,1
신생아 의류,1
식품 및 건강식품,1
유아세제,1
"세탁세제, 섬유유연제",1
일회용마스크,1
식품>냉동케이크,1
화장품/미용>바디케어>바디슬리밍,1
하드,1
휴대기기 블루투스 이어폰 에어팟,1
생활/건강>공구>원예공구>압축분무기,1
의료제품>콘돔,1
의류>점퍼,1
생활/건강>주방용품>잔/컵,1
"인테리어>러크,카페트",1
가드닝 제품,1
"옷, 서적, 노트북, 게임기",1
화보집,1
컴퓨터>저장장치>HDD,1
중고물품,1
///,1
생활/건강주방용품식기접시,1
의약 외품 > 치약,1
생활/건강건강관리용품전자담배 액세서리,1
점프수트,1
건강관리용품>먼지차단마스크,1
곱창 막창 / 식품>즉석식품>원팩,1
간편조리식품>밀키트>냉동,1
생활용품/사무용품>낱개판매,1
의류 : 티셔츠,1
여성언더웨어/잠옷>잠옷/홈웨어,1
식품 반찬,1
문구제품,1
주방용기,1
소고기 냉장육,1
음식>과자,1
신발>샌들,1
식음료(음료),1
생활/건강주방용품주전자/티포트티포트,1
애니매이션/게임>굿즈 상품,1
식품 > 건강기능,1
생활/건강 > 문구/사무용품 > 앨범 > 포켓식앨범,1
의류 목도리,1
실버주얼리,1
건강/미용>침파스,1
의류>캐주얼여성복,1
차량용 액세서리,1
학습도구/교구재>툴킷카드,1
생활/건강>구강위생용품,1
식품/비타민,1
전자부품,1
"어댑터,여권케이스",1
여행>상품,1
생활/건강>반려동물>강아지간식,1
화장품>건강식품,1
식품>단백질바,1
"미용,전자기기",1
반려동물>가구>슬라이드계단,1
인테리어소품>DIY,1
식품 우유 멸균우유,1
리셀러,1
헤어왁스,1
스타킹,1
기타가공품>비오틴(탈모관련제품),1
생활/세제,1
디지털/가전>PC,1
생활용품>리빙>와인스토퍼,1
약 과자 액상소스 건어물50,1
HMR,1
남성잡화,1
운동복>요가.필라테스,1
코하쿠토,1
"의류, 패션잡화",1
소형전자기기,1
화장품/뷰티,1
생활/건강주방용품잔/컵머그,1
주방용품>와인용품>와인쿨러,1
식품>축산>돼지고기>국내산돼지고기,1
"애완용품, 패션잡화,주방용품",1
"식품 (건강기능식품, 건강즙)",1
패션잡화>여행용가방,1
압축분무기,1
디지털/가전태블릿PC액세서리스탠드/Dock,1
운동용품-밴드,1
헤드폰,1
"베개,바디필로우,발매트,폼롤러,좌식의자,헬스사이클,분리수거함,캠핑용테이블",1
"패션잡화>가방,지갑등",1
화장품/미용 > 향수,1
"원예부자재, 생활용품",1
전자제품>pc>주변기기>헤드폰,1
패션의류>언더웨어,1
화장품/미용>뷰티소품>쌍꺼풀액,1
화장품 미용 로션,1
체중계,1
생활/건강>수납/정리용품>정리함.소품정리함,1
생활용품>먼지차단마스크,1
서류>바인더,1
패션잡화>신발>여성화,1
화장품/미용>샴푸>헤어제품,1
깔창,1
"일반상품>레고,노트,CD,메모지,양말",1
가구/인테리어>조명,1
"반려동물 케어용품, 영양제",1
멋있는화장품,1
패션의류>남성의류>티셔츠,1
화장품>스킨케어>크림>세럼,1
문서 서류,1
여행>소품,1
생활건간>건강관리용품>먼지차단마스크>마스크,1
생활/건강>문구/사무용품>다이어리/플래너,1
식품>조미료>기타조미료,1
축산 포장육 및 밀키트,1
"음반, DVD, 굿즈",1
의류>자켓,1
수납함,1
스포츠/레저>자전거>자전거용품>펌프,1
카페 식자재,1
전자기기>전동칫솔,1
너티조이 마라땅콩,1
패션 잡화,1
생활/건강욕실용품수건/타월세면타월,1
도서 및 관련패키지,1
"가전제품, 주방기구, 옷장등등",1
건강식품 -> 숙취해소제,1
생활/건강>자동차용품>익스테리어용품>스티커,1
스포츠/레저오토바이/스쿠터오토바이용품기타오토바이용품,1
